,fcity,city,site,long,lat,crs,JA19,AP19,JU19,OC19,JA20,AP20,JU20,OC20,JA21,AP21,JU21,OC21,JA22,AP22,JU22,OC22
1,"Boston, MA",boma,ALN,-71.13699361,42.29748616,4326,0.133173941,0.157064489,0.346796702,0.226136958,0.136310213,0.17074283,0.321972556,0.156418794,0.149383576,0.139692869,0.326576375,0.274366087,0.073414095,0.146103672,0.35571157,0.216521295
2,"Boston, MA",boma,ARB1,-71.12307729,42.30342279,4326,0.126089722,0.153068523,0.313335099,0.223463481,0.128428845,0.167243669,0.297743749,0.149140848,0.142878779,0.132253485,0.304503209,0.264492376,0.051440875,0.13951467,0.326917334,0.206190506
3,"Boston, MA",boma,ARB2,-71.12558823,42.2922138,4326,0.108995327,0.133496495,0.286232126,0.20232232,0.110106582,0.148942307,0.264564882,0.131980341,0.125370323,0.115500292,0.274197854,0.24005143,0.039801668,0.118443609,0.289551573,0.186997841
4,"Boston, MA",boma,BDL,-71.12489695,42.20208883,4326,0.191490913,0.208172154,0.254982201,0.264776395,0.19295743,0.220168647,0.331969716,0.219260045,0.214876961,0.189657971,0.341027042,0.323948539,0.103567407,0.176574216,0.364356515,0.255510106
5,"Boston, MA",boma,BNC,-71.10021854,42.28965103,4326,0.126285611,0.156404328,0.309449024,0.208495553,0.12634359,0.169979,0.281497833,0.155520469,0.149542184,0.135441686,0.298027276,0.269590965,0.043056126,0.093229167,0.313121825,0.212850387
6,"Boston, MA",boma,BRA,-71.06982556,42.08825365,4326,0.151323144,0.176046564,0.306518036,0.181387871,0.15523929,0.186017679,0.335528254,0.174325873,0.170209496,0.162334633,0.351782013,0.311147523,0.054124416,0.160608262,0.373986326,0.210829279
7,"Boston, MA",boma,BRD1,-71.10939455,42.08760938,4326,0.169275884,0.18657746,0.196121835,0.146377512,0.176543982,0.19462172,0.374393193,0.190711765,0.186603824,0.184856479,0.372068355,0.329130415,0.103867782,0.179807248,0.413956033,0.220159213
8,"Boston, MA",boma,BRD2,-71.11102139,42.10669445,4326,0.185064019,0.208090311,0.393012664,0.147680391,0.193616441,0.218967664,0.388461407,0.207547859,0.204147297,0.19793045,0.385456257,0.359246217,0.10821298,0.195164903,0.415031224,0.244754533
9,"Boston, MA",boma,BRT,-71.12348737,42.37682391,4326,0.079588483,0.096453069,0.146488984,0.120794281,0.07983075,0.106690733,0.206269077,0.099818033,0.09482477,0.083573791,0.209391166,0.135177693,0.063776289,0.067810013,0.220614542,0.11677053
10,"Boston, MA",boma,BSU,-70.96238146,41.98338424,4326,0.172152339,0.192253159,0.244568437,0.208747258,0.171823466,0.200413971,0.344123367,0.188124322,0.185827325,0.177930938,0.355827695,0.30800088,0.090408056,0.172528023,0.372893543,0.219809833
11,"Boston, MA",boma,DAN,-71.16154831,42.31722975,4326,0.171615234,0.206550456,0.324583413,0.261570392,0.176751279,0.218017025,0.325292695,0.203231547,0.197246891,0.17793047,0.338354654,0.317349121,0.073998113,0.180702895,0.347010427,0.251034095
12,"Boston, MA",boma,EVR,-71.16424429,42.33971975,4326,0.101989168,0.128171163,0.230570623,0.18737383,0.107550457,0.139137947,0.237845022,0.125209323,0.119253985,0.113314295,0.243327118,0.217639073,0.043926075,0.100877883,0.260128919,0.169269605
13,"Boston, MA",boma,FRPO1,-71.15198411,42.38953038,4326,0.083316894,0.101344232,0.070231615,0.148144568,0.083624695,0.108514258,0.205772209,0.100301556,0.093769239,0.083287987,0.209451289,0.18582089,0.003997703,0.05083628,0.218423923,0.135858793
14,"Boston, MA",boma,FRPO2,-71.14746725,42.37997926,4326,0.088327741,0.109292326,0.088973731,0.15080861,0.090678629,0.12011567,0.209690985,0.108593927,0.101984299,0.092741015,0.231828024,0.20576589,0.029376508,0.052992668,0.245254006,0.151580328
15,"Boston, MA",boma,FVW,-71.14048846,42.24483256,4326,0.100137547,0.116061908,0.270674301,0.185371529,0.099919105,0.128937566,0.250322899,0.120347564,0.11446211,0.103706234,0.262573331,0.236716337,0.031672435,0.108894794,0.268612701,0.168926085
16,"Boston, MA",boma,GLD,-71.08688954,42.27446779,4326,0.088465982,0.110990144,0.224405188,0.173074818,0.088641781,0.124500283,0.245040974,0.109316468,0.102302261,0.093756848,0.247926979,0.199341886,0.033962612,0.096459701,0.257208303,0.166554355
17,"Boston, MA",boma,GRT,-70.91798262,41.96413218,4326,0.205535745,0.213375176,0.284985488,0.217847449,0.205575954,0.217048077,0.404639081,0.222372784,0.221329927,0.207405479,0.401305347,0.359654991,0.16109588,0.200665992,0.436002771,0.243481642
18,"Boston, MA",boma,HAB,-71.18401235,42.40430572,4326,0.161391424,0.186448324,0.2391605,0.220047452,0.164729598,0.196988328,0.356981352,0.186166547,0.180614018,0.167762638,0.346851707,0.281526494,0.108747001,0.067238155,0.377329947,0.237647262
19,"Boston, MA",boma,HAL,-71.11111938,42.34632107,4326,0.056765836,0.069823699,0.15403008,0.120408558,0.056627394,0.077224314,0.167412166,0.070969322,0.065868057,0.059227384,0.172040842,0.158675033,0.021671378,0.064953178,0.181780551,0.115402869
20,"Boston, MA",boma,MTA,-71.14148806,42.37081999,4326,0.112220612,0.135764125,0.175978881,0.163065414,0.113940045,0.151128667,0.225889098,0.138560578,0.131401638,0.118720306,0.271718064,0.218248258,0.05518354,0.092803407,0.284812501,0.165271318
21,"Boston, MA",boma,MUS,-71.13735528,42.16443838,4326,0.150225287,0.173039288,0.34519927,0.141294484,0.156318218,0.186030354,0.310392567,0.173962233,0.170527731,0.159373001,0.319637981,0.281722619,0.061213636,0.159508601,0.34442309,0.21683267
22,"Boston, MA",boma,PKN,-71.13783958,42.19705721,4326,0.186575343,0.210599199,0.142638353,0.252152447,0.192280638,0.218102403,0.334133343,0.213197479,0.207690506,0.195457969,0.361893309,0.331108522,0.112616459,0.191187492,0.393685559,0.246508561
23,"Boston, MA",boma,SRN,-71.12382033,42.26964245,4326,0.121855673,0.149387804,0.279008304,0.211929974,0.125615008,0.16351982,0.287243494,0.147943837,0.140167665,0.127754207,0.299437123,0.269672573,0.021889992,0.113518829,0.313482059,0.206130949
24,"Boston, MA",boma,STN,-71.06950426,42.0707474,4326,0.178455639,0.196372516,0.255709272,0.187391308,0.184507714,0.206080993,0.368732249,0.201341941,0.198848459,0.188594264,0.362841223,0.312767173,0.109775819,0.184585081,0.387140466,0.226598733
25,"Boston, MA",boma,STR,-70.8953726,41.97217658,4326,0.203161766,0.213504209,0.357583189,0.073524398,0.20099596,0.227000505,0.393092335,0.231141289,0.228353527,0.201587428,0.383778985,0.326140641,0.113224052,0.194253324,0.414252811,0.262891281
26,"Boston, MA",boma,TKR,-70.94669939,42.00121328,4326,0.185982805,0.203793772,0.304974594,0.165194971,0.191690385,0.216003084,0.377603583,0.207111174,0.203999115,0.193459055,0.377465924,0.324629365,0.097791267,0.187121605,0.401257343,0.242719926
27,"Boston, MA",boma,ZNE,-71.0929906,42.30555208,4326,0.128676448,0.156882816,0.313655676,0.214015859,0.129216763,0.168649449,0.289043922,0.159676984,0.151412202,0.132971883,0.301469255,0.262110712,0.040771668,0.127234972,0.320336775,0.218799299
28,"Chicago, IL",chil,C04-MBP1,-87.57339472,41.71308499,4326,0.071179248,0.025583771,0.196652284,0.180912673,0.086800323,0.107118443,0.232510461,0.165515708,0.041805523,0.091696269,0.080607203,0.139905257,0.079381697,0.103337995,0.227391504,0.130997728
29,"Chicago, IL",chil,C05-BEA1,-87.58721191,41.65419878,4326,0.08812181,0.020747135,0.260188939,0.231823678,0.116759076,0.15227559,0.221909813,0.210289642,0.025867846,0.138708554,0.183600402,0.207368397,0.081714621,0.169721215,0.295105549,0.168386345
30,"Chicago, IL",chil,C05-BMP1,-87.57510693,41.69479206,4326,0.069594334,0.019925914,0.170900464,0.179867451,0.090737283,0.095110991,0.204578466,0.157503189,0.002463534,0.088779141,0.039601672,0.140453653,0.043976378,0.097284028,0.21316118,0.146668533
31,"Chicago, IL",chil,C05-BMP2,-87.56486107,41.6857457,4326,0.066811838,0.016324819,0.176050522,0.18477313,0.083952038,0.089332902,0.219794324,0.154920209,0.016383636,0.081120917,0.015430052,0.129062144,0.053485717,0.091975575,0.240532437,0.145665302
32,"Chicago, IL",chil,C05-EGG1,-87.52634943,41.68809924,4326,0.054673562,0.011096569,0.172502036,0.168890556,0.087888125,0.10601049,0.141643143,0.151146887,0.023916216,0.084545633,0.005540138,0.130214255,0.062827807,0.097743255,0.205625255,0.129309484
33,"Chicago, IL",chil,C05-SPA1,-87.56351755,41.66809833,4326,0.041500841,0.02008122,0.136708132,0.122911838,0.052595859,0.061545181,0.149593853,0.112255756,0.01806014,0.055477713,0.106036711,0.095135792,0.033770212,0.061858903,0.158548479,0.099897171
34,"Chicago, IL",chil,C06-BEA2,-87.58174014,41.64524646,4326,0.071213659,0.021832755,0.25394476,0.213059956,0.100525385,0.133519832,0.186765704,0.195622754,0.028067791,0.116576872,0.155239335,0.18512373,0.083035056,0.14139942,0.289674127,0.147799697
35,"Chicago, IL",chil,C06-HMP1,-87.56991671,41.65680784,4326,0.061407327,0.018332638,0.212989585,0.172942502,0.084422203,0.115804223,0.126127218,0.15591451,0.016336991,0.110675347,0.124367159,0.151119444,0.060806919,0.133703968,0.228400484,0.122708254
36,"Chicago, IL",chil,D02-BMT1,-87.66977928,41.91433602,4326,0.033830437,0.033473685,0.111019489,0.08579746,0.040849984,0.047390331,0.06691273,0.077938028,0.067340526,0.041054909,0.099726067,0.0686174,0.033305049,0.043226777,0.104519144,0.06978198
37,"Chicago, IL",chil,D02-HUP0,-87.69904915,41.90585734,4326,0.071669163,0.040817237,0.161772082,0.165784903,0.086112264,0.119945189,-0.011415519,0.145988264,0.050956759,0.100764455,0.122822649,0.134793689,0.052866605,0.107256563,0.18531226,0.12937925
38,"Chicago, IL",chil,D02-JBS1,-87.6399905,41.94889355,4326,0.078991031,0.058877763,0.124995366,0.084432448,0.0073066,0.03424788,0.079774638,0.072920307,-0.162336639,0.009724404,0.031986107,0.032914083,-0.034878021,0.05787782,0.103080176,0.017798899
39,"Chicago, IL",chil,D02-MDU1,-87.6330656,41.96478369,4326,0.105201704,0.063801623,0.128303516,0.035450476,-0.072131592,-0.003642198,0.045380378,0.032946153,-0.241056344,-0.040291946,0.014343035,-0.008859889,-0.124613246,0.038736103,0.069456118,-0.038644491
40,"Chicago, IL",chil,D02-MOP1,-87.72430748,41.91858492,4326,0.044436661,0.055720783,0.134011078,0.118239838,0.054601471,0.062580486,0.000970824,0.106971752,0.052681953,0.062492629,0.109173557,0.090692891,0.046173745,0.064774003,0.137378561,0.093081414
41,"Chicago, IL",chil,D02-RCP1,-87.69329358,41.94109499,4326,0.039587615,0.058015545,0.134441245,0.112151352,0.056498294,0.063535868,0.001289042,0.101101396,0.049946382,0.06067243,0.120153642,0.089264991,0.054392338,0.061602197,0.128341265,0.089269734
42,"Chicago, IL",chil,D02-SCP1,-87.68589743,41.92296839,4326,0.037727357,0.039099151,0.125833564,0.102659224,0.037878644,0.051769105,0.017689896,0.0919598,0.067101777,0.0482035,0.098049396,0.077296263,0.037160872,0.048961191,0.120136421,0.079322614
43,"Chicago, IL",chil,D03-AFP1,-87.71652991,41.94666256,4326,0.046956639,0.048837927,0.144616667,0.125252198,0.062859855,0.068732665,0.109949035,0.111279279,0.052347009,0.063474856,0.148147809,0.095698035,0.054759051,0.066396915,0.14415749,0.096531446
44,"Chicago, IL",chil,D03-AMP1,-87.7482015,41.96850882,4326,0.063207332,0.056242852,0.184176653,0.154294769,0.067002194,0.095463722,-0.009562732,0.139231294,0.0464756,0.08112923,0.157573037,0.119024829,0.053851521,0.085547509,0.180827914,0.12120517
45,"Chicago, IL",chil,D03-CHP1,-87.76234923,41.94245857,4326,0.058750759,0.049032874,0.160800739,0.137369027,0.069157753,0.086245336,0.127461023,0.121427337,0.035049094,0.084158365,0.077679262,0.106117932,0.05217888,0.088992069,0.155236286,0.109300638
46,"Chicago, IL",chil,D03-GOM1,-87.73063446,41.97527786,4326,0.099979159,0.070883428,0.237281923,0.227970683,0.10602524,0.136402282,-0.009975468,0.196953656,0.038535908,0.132332427,0.2509685,0.176887318,0.071988086,0.146036607,0.261692531,0.179557804
47,"Chicago, IL",chil,D03-HOR1,-87.69473925,41.95758198,4326,0.059799011,0.054569746,0.168910289,0.152889181,0.066221237,0.090049367,0.010198461,0.136122679,0.069116263,0.077009192,0.182669369,0.116369583,0.060321764,0.078892428,0.17980846,0.119142953
48,"Chicago, IL",chil,D03-NPV1,-87.72834195,41.98593826,4326,0.107919742,0.071269285,0.247079772,0.235019165,0.115098796,0.133075135,-3.03E-05,0.204089795,0.043135422,0.134942002,0.2646822,0.182573178,0.068857242,0.150531897,0.275556835,0.184850156
