siteID,fcity,city,site,habitat_prop,scale_habitat_prop,ag_prop,scale_ag_prop,imp_mean,scale_imp_value,pop_dens,scale_pop_dens
boma_ALN,"Boston, MA",boma,ALN,0.5467397856997167,0.05443632193703085,0.00197114633898832,-0.08156856780526361,53.018497546243864,0.11800024770154424,1977.51465354482,0.22378890249592623
boma_ARB1,"Boston, MA",boma,ARB1,0.46567381252674905,-0.2763898680501964,0.00394212388421594,-0.06782614844202464,57.15729537366549,0.36706951738258864,2435.0918549285907,0.4669415009268475
boma_ARB2,"Boston, MA",boma,ARB2,0.32622906944669117,-0.8454569039629478,0.00140848808001068,-0.08549163926378077,65.39332220367278,0.8627064808583682,4119.575725481189,1.362061775497344
boma_BDL,"Boston, MA",boma,BDL,0.7043318424900182,0.6975616392504531,0.00338255944524956,-0.07172764858831043,45.52196752626552,-0.3331344380391285,194.56089373421125,-0.7236574262745676
boma_BNC,"Boston, MA",boma,BNC,0.515694356742769,-0.0722585239563509,0.0030994678167962,-0.07370147314346488,57.37995337995338,0.38046888341282353,2189.9946846151943,0.3366989677553026
boma_BRA,"Boston, MA",boma,BRA,0.6458961689857798,0.45908857258539715,0,-0.09531216406402394,46.26569037656904,-0.2883778408594103,802.5963815694975,-0.4005525854777366
boma_BRD1,"Boston, MA",boma,BRD1,0.8391151744311508,1.2476056889866949,0.00159679353822174,-0.08417870062508899,35.05364806866953,-0.9631088390152724,266.20738060517124,-0.6855850979364481
boma_BRD2,"Boston, MA",boma,BRD2,0.8239998470584086,1.185920792483146,0.00691164718116432,-0.04712148107816585,39.52164948453608,-0.6942283824221482,403.6565941981504,-0.6125457652591426
boma_BRT,"Boston, MA",boma,BRT,0.16436539302073538,-1.506014487785068,0,-0.09531216406402394,70.77168405365127,1.1863716401418467,6411.135755754498,2.579777112136401
boma_BSU,"Boston, MA",boma,BSU,0.7136361288876383,0.7355319676014985,0.00169028643177511,-0.08352683193495397,46.465362242199895,-0.2763617608713934,1349.8874722175417,-0.1097267961098908
boma_DAN,"Boston, MA",boma,DAN,0.6748361853849553,0.5771913349253881,0.0048249224635671,-0.06167093458883268,39.17967145790554,-0.7148083239635057,836.8859243228638,-0.3823314166907531
boma_EVR,"Boston, MA",boma,EVR,0.30319204324873006,-0.9394698579485394,2.8178902662822193e-4,-0.09334742175366102,58.61013645224172,0.4545002355505822,4648.988760375594,1.64338731944596
boma_FRPO1,"Boston, MA",boma,FRPO1,0.22791189126507255,-1.2466844004702782,5.634942299942678e-4,-0.09138326389157048,69.32255489021956,1.0991643018132935,2201.2475518888,0.3426786448657465
boma_FRPO2,"Boston, MA",boma,FRPO2,0.31073334392618696,-0.9086941863193596,0,-0.09531216406402394,57.782174414137536,0.4046741969874209,2697.6657569327263,0.606471019354284
boma_FVW,"Boston, MA",boma,FVW,0.28251334079000195,-1.0238586104736465,0,-0.09531216406402394,64.39396709323583,0.8025661556027092,1854.9871753764933,0.15867885198265913
boma_GLD,"Boston, MA",boma,GLD,0.22189546527136308,-1.27123713463153,0,-0.09531216406402394,67.2312986235787,0.9733143103986036,5129.914626286536,1.8989471978560952
boma_GRT,"Boston, MA",boma,GRT,0.8729244321952422,1.3855795822813006,0.0891590051954122,0.5263389766967204,24.87984496124031,-1.5753595010450123,78.64069137991781,-0.7852564271160558
boma_HAB,"Boston, MA",boma,HAB,0.6796876503543414,0.596989921297182,0.00338107643573705,-0.071737988705421335,42.436604584527224,-0.5188089084150965,886.7249670482857,-0.3558473770459714
boma_HAL,"Boston, MA",boma,HAL,0.1358856067297696,-1.622239074026543,0,-0.09531216406402394,77.42870257037944,1.5869852505069633,8853.667386916088,3.87771746202841
boma_MTA,"Boston, MA",boma,MTA,0.432219934016864,-0.41291347634768383,0,-0.09531216406402394,53.02073802988716,0.1181350780672778,1536.677842921819,-0.01046799593088538
