siteID,JA19,AP19,JU19,OC19,JA20,AP20,JU20,OC20,JA21,AP21,JU21,OC21,JA22,AP22,JU22,OC22
BOMA_ALN,NA,NA,NA,NA,NA,0,NA,NA,1,0,0,3,4,0,0,0
BOMA_ARB1,NA,NA,NA,NA,NA,0,NA,NA,0,0,1,2,0,0,0,0
BOMA_ARB2,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,1,0,0,0,0
BOMA_BDL,NA,NA,NA,NA,NA,0,NA,NA,1,9,3,7,0,0,0,4
BOMA_BNC,NA,NA,NA,NA,NA,0,NA,NA,0,2,5,6,1,0,0,0
BOMA_BRA,NA,NA,NA,NA,NA,0,NA,NA,20,43,12,2,11,6,15,6
BOMA_BRD1,NA,NA,NA,NA,NA,0,NA,NA,0,0,15,17,3,0,0,16
BOMA_BRD2,NA,NA,NA,NA,NA,0,NA,NA,0,0,11,6,5,0,0,7
BOMA_BRT,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0
BOMA_BSU,NA,NA,NA,NA,NA,0,NA,NA,1,9,11,16,2,0,0,10
BOMA_DAN,NA,NA,NA,NA,NA,0,NA,NA,2,1,1,1,1,0,0,0
BOMA_EVR,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0
BOMA_FRPO1,NA,NA,NA,NA,NA,0,NA,NA,0,0,24,8,0,0,0,10
BOMA_FRPO2,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0
BOMA_FVW,NA,NA,NA,NA,NA,0,NA,NA,0,0,3,2,1,0,0,4
BOMA_GLD,NA,NA,NA,NA,NA,0,NA,NA,3,10,7,5,9,0,0,0
BOMA_GRT,NA,NA,NA,NA,NA,0,NA,NA,0,0,3,0,1,0,0,12
BOMA_HAB,NA,NA,NA,NA,NA,0,NA,NA,8,3,17,7,11,0,0,8
BOMA_HAL,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0
BOMA_MTA,NA,NA,NA,NA,NA,0,NA,NA,2,0,3,1,0,0,0,0
BOMA_MUS,NA,NA,NA,NA,NA,0,NA,NA,2,7,18,47,13,0,0,0
BOMA_PKN,NA,NA,NA,NA,NA,0,NA,NA,9,4,5,3,12,0,0,4
BOMA_SRN,NA,NA,NA,NA,NA,0,NA,NA,0,0,3,2,0,0,0,2
BOMA_STN,NA,NA,NA,NA,NA,0,NA,NA,1,0,24,3,1,0,0,0
BOMA_STR,NA,NA,NA,NA,NA,0,NA,NA,4,4,1,6,8,0,0,18
BOMA_TKR,NA,NA,NA,NA,NA,0,NA,NA,7,4,2,4,3,0,0,0
BOMA_ZNE,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0
CHIL_C04-MBP1,0,33,1,41,28,8,6,11,0,0,0,11,0,0,0,0
CHIL_C05-BEA1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHIL_C05-BMP1,0,0,10,0,0,0,3,6,0,0,0,3,0,0,0,0
CHIL_C05-BMP2,0,68,40,0,10,26,5,56,0,0,0,1,0,0,0,0
CHIL_C05-EGG1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHIL_C05-SPA1,0,0,0,0,0,11,5,39,0,0,0,0,0,0,0,0
CHIL_C06-BEA2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHIL_C06-HMP1,0,1,1,13,1,2,1,5,0,0,0,0,0,0,0,0
CHIL_D02-BMT1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHIL_D02-HUP0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHIL_D02-JBS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHIL_D02-MDU1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHIL_D02-MOP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHIL_D02-RCP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHIL_D02-SCP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHIL_D03-AFP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHIL_D03-AMP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHIL_D03-CHP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
