siteID,AP19,JA19,JU19,OC19,AP20,JA20,JU20,OC20,AP21,JA21,JU21,OC21,AP22,JA22,JU22,OC22
ALN_BOMA,NA,NA,NA,NA,52439,58055,72182,73054,48104,51637,68057,46919,49052,51360,53352,69447
ARB1_BOMA,NA,NA,NA,NA,100665,126622,142425,133841,104369,107648,155197,118430,120740,123832,132474,183171
ARB2_BOMA,NA,NA,NA,NA,41572,47883,54323,47947,33143,36163,49599,36982,38597,42246,45385,61353
BDL_BOMA,NA,NA,NA,NA,19704,20436,27075,21571,14842,15723,25783,18045,17308,19261,24923,32415
BNC_BOMA,NA,NA,NA,NA,78103,88267,113842,84784,60198,71845,88487,78431,90241,91812,93849,124070
BRA_BOMA,NA,NA,NA,NA,2916,3621,5335,4533,1809,1971,2296,2112,2075,1788,1957,3168
BRD1_BOMA,NA,NA,NA,NA,4403,3225,7113,4875,3653,4064,5843,3587,2611,3255,3838,3990
BRD2_BOMA,NA,NA,NA,NA,852,1669,1637,1440,989,992,1445,824,1003,1069,1158,1449
BRT_BOMA,NA,NA,NA,NA,1585995,2211104,1345373,1918193,1351198,1670172,1850159,2873453,3097383,2407086,2686028,4570675
BSU_BOMA,NA,NA,NA,NA,NA,NA,NA,NA,9323,12925,11671,26356,32074,25872,16347,52370
DAN_BOMA,NA,NA,NA,NA,47736,74174,63353,69031,54295,52521,72903,51356,53029,56656,59320,79927
EVR_BOMA,NA,NA,NA,NA,197984,447817,89738,597838,483101,327128,232066,603733,641127,526020,372314,1032287
FRPO1_BOMA,NA,NA,NA,NA,112194,146305,169945,164681,113112,117186,179211,129288,123497,130636,146263,197370
FRPO2_BOMA,NA,NA,NA,NA,47354,60812,68695,66046,43395,44110,71602,50361,45298,45017,49763,64846
FVW_BOMA,NA,NA,NA,NA,34476,46027,50202,38409,31610,37096,52718,44049,44980,52154,47263,69423
GLD_BOMA,NA,NA,NA,NA,28364,33409,47641,38326,25240,23224,46701,32956,29685,29731,35858,46421
GRT_BOMA,NA,NA,NA,NA,1068,915,1681,1132,637,921,1184,778,905,1041,984,1353
HAB_BOMA,NA,NA,NA,NA,7243,16430,9174,13662,12576,11547,12494,11386,11182,11428,10769,17170
HAL_BOMA,NA,NA,NA,NA,503377,810693,434118,738014,633283,645107,681109,1028861,1152504,940955,878591,1711165
MTA_BOMA,NA,NA,NA,NA,435292,591510,692379,698706,508677,499700,821836,694049,612146,603352,707308,1082915
MUS_BOMA,NA,NA,NA,NA,NA,NA,NA,NA,3600,12991,3476,16263,14905,14690,7159,22033
PKN_BOMA,NA,NA,NA,NA,309,488,3709,1734,528,251,3323,1379,769,289,2083,2158
SRN_BOMA,NA,NA,NA,NA,28318,33706,44877,35107,23462,23092,35185,26786,22966,29071,30025,39132
STN_BOMA,NA,NA,NA,NA,1489,2695,2590,2758,1164,1101,1763,1068,1197,1168,1937,2080
STR_BOMA,NA,NA,NA,NA,426,368,942,652,198,342,430,299,271,282,353,563
TKR_BOMA,NA,NA,NA,NA,112,NA,114,52,NA,NA,NA,NA,NA,NA,NA,NA
ZNE_BOMA,NA,NA,NA,NA,102487,115447,207995,174489,103380,93954,197138,145970,119102,115284,157910,235907
C04-MBP1_CHIL,17459,12307,17758,19931,6687,9601,9582,7437,6040,4765,7355,3762,3314,3608,4057,4614
C05-BEA1_CHIL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C05-BMP1_CHIL,16760,10398,17210,20693,14194,12213,25447,17526,10290,10549,13458,8092,6782,8502,8490,13968
C05-BMP2_CHIL,6716,4089,10096,12856,5370,6802,14212,10627,3353,3777,5598,3812,2747,2885,4735,7587
C05-EGG1_CHIL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C05-SPA1_CHIL,NA,NA,NA,NA,17999,43386,57896,55822,23182,32547,16039,25301,20560,26530,21288,27960
C06-BEA2_CHIL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C06-HMP1_CHIL,8208,4564,10763,9804,2355,4120,5434,4394,3458,3308,4625,3913,3094,3606,3595,5172
D02-BMT1_CHIL,1012558,605588,1109501,1069952,319228,525654,516863,468632,327937,340456,573595,377550,345097,374894,448330,602398
D02-HUP0_CHIL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D02-JBS1_CHIL,8051703,3794693,13505044,8885445,2812936,4425651,6829572,5388845,3136105,2811139,7862427,4026790,2705286,2948260,5948328,5918953
D02-MDU1_CHIL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D02-MOP1_CHIL,160052,90674,158256,203240,95455,117861,144801,104540,71433,78101,108582,91164,NA,25833,NA,NA
D02-RCP1_CHIL,378287,243560,327775,506209,177378,279658,263598,255992,169688,181203,248339,232147,195316,216914,207020,326591
D02-SCP1_CHIL,715317,439311,770194,793487,261458,415929,431933,391422,284266,310624,458140,318525,293703,351456,352712,486730
D03-AFP1_CHIL,306727,183432,323313,352989,116633,180953,189453,172122,122307,133046,197414,138417,129757,142192,155748,221151
D03-AMP1_CHIL,195443,118324,188932,227472,92206,138279,135226,128198,NA,30380,NA,NA,NA,NA,NA,NA
