siteID,AP19,JA19,JU19,OC19,AP20,JA20,JU20,OC20,AP21,JA21,JU21,OC21,AP22,JA22,JU22,OC22
ALN_BOMA,NA,NA,NA,NA,19,22,17,21,19,16,17,14,16,17,19,20
ARB1_BOMA,NA,NA,NA,NA,55,65,45,54,41,52,46,45,58,49,57,55
ARB2_BOMA,NA,NA,NA,NA,93,106,77,90,69,70,72,71,77,77,91,97
BDL_BOMA,NA,NA,NA,NA,15,15,14,16,16,15,17,17,15,17,17,18
BNC_BOMA,NA,NA,NA,NA,62,67,67,65,50,42,52,48,51,54,55,61
BRA_BOMA,NA,NA,NA,NA,6,5,6,6,5,6,7,6,5,7,7,8
BRD1_BOMA,NA,NA,NA,NA,2,2,2,2,2,2,3,2,2,2,2,2
BRD2_BOMA,NA,NA,NA,NA,2,4,2,4,3,3,3,3,4,4,4,4
BRT_BOMA,NA,NA,NA,NA,239,242,141,186,136,195,166,217,229,225,237,261
BSU_BOMA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,5,6,6,7,6,7
DAN_BOMA,NA,NA,NA,NA,47,52,44,43,36,37,41,38,37,35,36,40
EVR_BOMA,NA,NA,NA,NA,47,52,39,51,46,46,46,51,56,54,49,57
FRPO1_BOMA,NA,NA,NA,NA,84,98,87,88,72,75,72,75,75,75,75,83
FRPO2_BOMA,NA,NA,NA,NA,47,50,44,44,36,39,38,39,40,38,38,46
FVW_BOMA,NA,NA,NA,NA,31,36,34,30,27,30,28,27,27,24,29,32
GLD_BOMA,NA,NA,NA,NA,81,92,83,72,66,64,68,68,72,76,73,88
GRT_BOMA,NA,NA,NA,NA,1,2,1,1,1,1,1,1,1,1,1,1
HAB_BOMA,NA,NA,NA,NA,7,10,7,7,7,8,7,8,7,6,9,8
HAL_BOMA,NA,NA,NA,NA,240,267,213,235,216,227,227,240,258,250,254,262
MTA_BOMA,NA,NA,NA,NA,55,61,52,57,45,45,48,51,50,45,51,57
MUS_BOMA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,6,6,5,8,6,9
PKN_BOMA,NA,NA,NA,NA,2,2,2,2,2,1,2,2,2,2,2,2
SRN_BOMA,NA,NA,NA,NA,29,35,27,25,21,24,26,25,27,26,31,32
STN_BOMA,NA,NA,NA,NA,5,7,5,5,6,3,5,3,5,3,4,5
STR_BOMA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2
TKR_BOMA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
ZNE_BOMA,NA,NA,NA,NA,84,87,84,83,70,70,76,72,69,74,77,84
C04-MBP1_CHIL,16,15,17,16,14,13,16,15,14,11,11,13,10,12,12,12
C05-BEA1_CHIL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C05-BMP1_CHIL,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C05-BMP2_CHIL,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
C05-EGG1_CHIL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C05-SPA1_CHIL,NA,NA,NA,NA,5,5,6,4,4,5,3,4,4,4,4,4
C06-BEA2_CHIL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C06-HMP1_CHIL,4,3,5,4,3,3,4,3,4,3,3,3,2,3,4,3
D02-BMT1_CHIL,432,414,449,439,344,382,327,340,278,300,318,308,312,292,328,336
D02-HUP0_CHIL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D02-JBS1_CHIL,195,178,206,197,171,179,178,180,150,154,173,158,164,163,177,177
D02-MDU1_CHIL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D02-MOP1_CHIL,246,208,239,243,200,220,201,193,149,170,180,177,NA,119,NA,NA
D02-RCP1_CHIL,283,260,282,265,209,229,216,210,171,197,186,198,189,190,194,222
D02-SCP1_CHIL,355,344,364,349,279,320,286,297,233,250,259,252,243,242,265,282
D03-AFP1_CHIL,280,264,278,270,212,231,227,236,181,199,201,194,185,190,201,207
D03-AMP1_CHIL,163,161,174,166,133,147,133,141,NA,89,NA,NA,NA,NA,NA,NA
D03-CHP1_CHIL,189,167,188,185,NA,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
